"location","pollster","partisan","polldate","samplesize","margin_poll","electiondate","cand1_actual","cand2_actual","margin_actual","error","rightcall","candidate","percent","type"
"NH","Marist College","",2016-02-03,567,20,2016-02-09,60.15,37.67,22.48,2.48,1,"clinton",38,"dem"
"NH","MassINC Polling Group","",2016-02-03,393,15,2016-02-09,60.15,37.67,22.48,7.48,1,"clinton",39,"dem"
"NH","Suffolk University","",2016-02-03,500,9,2016-02-09,60.15,37.67,22.48,13.48,1,"clinton",40.6,"dem"
"NH","University of Massachusetts Lowell","",2016-02-03,434,15,2016-02-09,60.15,37.67,22.48,7.48,1,"clinton",40,"dem"
"NH","University of New Hampshire","",2016-02-03,305,30,2016-02-09,60.15,37.67,22.48,7.52,1,"clinton",31,"dem"
"NH","American Research Group","",2016-02-04,409,16,2016-02-09,60.15,37.67,22.48,6.48,1,"clinton",38,"dem"
"NH","Franklin Pierce University","",2016-02-04,407,7,2016-02-09,60.15,37.67,22.48,15.48,1,"clinton",44,"dem"
"NH","University of Massachusetts Lowell","",2016-02-04,433,14,2016-02-09,60.15,37.67,22.48,8.48,1,"clinton",41,"dem"
"NH","Monmouth University","",2016-02-05,502,10,2016-02-09,60.15,37.67,22.48,12.48,1,"clinton",42,"dem"
"NH","University of New Hampshire","",2016-02-05,406,23,2016-02-09,60.15,37.67,22.48,0.52,1,"clinton",35,"dem"
"NH","American Research Group","",2016-02-06,408,11,2016-02-09,60.15,37.67,22.48,11.48,1,"clinton",42,"dem"
"NH","Emerson College","",2016-02-06,783,12,2016-02-09,60.15,37.67,22.48,10.48,1,"clinton",42,"dem"
"NH","University of Massachusetts Lowell","",2016-02-06,407,16,2016-02-09,60.15,37.67,22.48,6.48,1,"clinton",40,"dem"
"NH","University of New Hampshire","",2016-02-06,363,26,2016-02-09,60.15,37.67,22.48,3.52,1,"clinton",35,"dem"
"NH","Overtime Politics","",2016-02-07,395,14,2016-02-09,60.15,37.67,22.48,8.48,1,"clinton",41,"dem"
"NH","American Research Group","",2016-02-08,409,9,2016-02-09,60.15,37.67,22.48,13.48,1,"clinton",44,"dem"
"NV","TargetPoint","",2016-02-09,1236,0,2016-02-20,52.64,47.29,5.35,5.35,0.5,"clinton",45,"dem"
"MA","Overtime Politics","",2016-02-10,417,6,2016-03-01,49.9,48.5,1.4,4.6,1,"clinton",50,"dem"
"VT","Castleton University","",2016-02-10,344,65.1,2016-03-01,85.95,13.6,72.35,7.25,1,"clinton",12.8,"dem"
"SC","YouGov","",2016-02-11,404,19,2016-02-27,73.44,26.02,47.42,28.42,1,"clinton",59,"dem"
"SC","Gravis Marketing","",2016-02-12,507,18,2016-02-27,73.44,26.02,47.42,29.42,1,"clinton",59,"dem"
"NV","CNN/Opinion Research Corp.","",2016-02-13,282,1,2016-02-20,52.64,47.29,5.35,4.35,1,"clinton",48,"dem"
"SC","American Research Group","",2016-02-13,400,38,2016-02-27,73.44,26.02,47.42,9.42,1,"clinton",65,"dem"
"SC","CNN/Opinion Research Corp.","",2016-02-13,280,18,2016-02-27,73.44,26.02,47.42,29.42,1,"clinton",56,"dem"
"VA","Overtime Politics","",2016-02-13,431,3,2016-03-01,64.29,35.2,29.09,26.09,1,"clinton",49,"dem"
"AL","Public Policy Polling","",2016-02-15,500,28,2016-03-01,77.88,19.17,58.71,30.71,1,"clinton",59,"dem"
"AR","Public Policy Polling","",2016-02-15,525,25,2016-03-01,66.08,29.97,36.11,11.11,1,"clinton",57,"dem"
"GA","Public Policy Polling","",2016-02-15,500,34,2016-03-01,71.3,28.2,43.1,9.1,1,"clinton",60,"dem"
"LA","Public Policy Polling","",2016-02-15,548,31,2016-03-05,71.12,23.18,47.94,16.94,1,"clinton",60,"dem"
"MA","Public Policy Polling","",2016-02-15,538,-7,2016-03-01,49.9,48.5,1.4,8.4,0,"clinton",42,"dem"
"NV","Gravis Marketing","",2016-02-15,516,6,2016-02-20,52.64,47.29,5.35,0.65,1,"clinton",53,"dem"
"OK","Public Policy Polling","",2016-02-15,542,-2,2016-03-01,51.88,41.52,10.36,12.36,0,"clinton",46,"dem"
"SC","American Research Group","",2016-02-15,400,30,2016-02-27,73.44,26.02,47.42,17.42,1,"clinton",61,"dem"
"SC","Monmouth University","",2016-02-15,403,29,2016-02-27,73.44,26.02,47.42,18.42,1,"clinton",59,"dem"
"SC","Public Policy Polling","",2016-02-15,525,21,2016-02-27,73.44,26.02,47.42,26.42,1,"clinton",55,"dem"
"SC","Selzer & Company","",2016-02-15,403,22,2016-02-27,73.44,26.02,47.42,25.42,1,"clinton",53,"dem"
"TN","Public Policy Polling","",2016-02-15,500,26,2016-03-01,66.07,32.45,33.62,7.62,1,"clinton",58,"dem"
"TX","Public Policy Polling","",2016-02-15,514,23,2016-03-01,65.19,33.19,32,9,1,"clinton",57,"dem"
"VA","Public Policy Polling","",2016-02-15,500,22,2016-03-01,64.29,35.2,29.09,7.09,1,"clinton",56,"dem"
"VT","Public Policy Polling","",2016-02-15,693,76,2016-03-01,85.95,13.6,72.35,3.65,1,"clinton",10,"dem"
"SC","Fox News/Anderson Robbins Research/Shaw & Company Research","",2016-02-16,642,28,2016-02-27,73.44,26.02,47.42,19.42,1,"clinton",56,"dem"
"SC","Marist College","",2016-02-16,425,28,2016-02-27,73.44,26.02,47.42,19.42,1,"clinton",60,"dem"
"TX","YouGov","",2016-02-16,324,10,2016-03-01,65.19,33.19,32,22,1,"clinton",54,"dem"
"CO","TargetPoint","",2016-02-17,1144,5,2016-03-01,59.01,40.33,18.68,13.68,1,"clinton",44,"dem"
"NV","Overtime Politics","",2016-02-18,305,-2,2016-02-20,52.64,47.29,5.35,7.35,0,"clinton",47,"dem"
"SC","American Research Group","",2016-02-18,400,29,2016-02-27,73.44,26.02,47.42,18.42,1,"clinton",61,"dem"
"MA","Emerson College","",2016-02-20,417,0,2016-03-01,49.9,48.5,1.4,1.4,0.5,"clinton",46,"dem"
"MI","American Research Group","",2016-02-20,400,-13,2016-03-08,49.68,48.26,1.42,14.42,0,"clinton",53,"dem"
"VA","Roanoke College","",2016-02-20,415,17,2016-03-01,64.29,35.2,29.09,12.09,1,"clinton",50,"dem"
"GA","Landmark Communications","",2016-02-21,700,52.2,2016-03-01,71.3,28.2,43.1,9.1,1,"clinton",72,"dem"
"GA","Marist College","",2016-02-21,461,34,2016-03-01,71.3,28.2,43.1,9.1,1,"clinton",64,"dem"
"TX","Marist College","",2016-02-21,381,21,2016-03-01,65.19,33.19,32,11,1,"clinton",59,"dem"
"MA","MassINC Polling Group","",2016-02-22,418,5,2016-03-01,49.9,48.5,1.4,3.6,1,"clinton",49,"dem"
"MA","YouGov","",2016-02-22,400,3,2016-03-01,49.9,48.5,1.4,1.6,1,"clinton",47,"dem"
"SC","Overtime Politics","",2016-02-22,410,29,2016-02-27,73.44,26.02,47.42,18.42,1,"clinton",63,"dem"
"TX","Dixie Strategies","",2016-02-22,625,31.45,2016-03-01,65.19,33.19,32,0.55,1,"clinton",60.71,"dem"
"TX","Emerson College","",2016-02-22,328,16,2016-03-01,65.19,33.19,32,16,1,"clinton",56,"dem"
"TX","SurveyUSA","",2016-02-22,569,29,2016-03-01,65.19,33.19,32,3,1,"clinton",61,"dem"
"FL","Quinnipiac University","",2016-02-23,476,26,2016-03-15,64.44,33.28,31.16,5.16,1,"clinton",59,"dem"
"GA","Opinion Savvy/InsiderAdvantage","",2016-02-23,491,28,2016-03-01,71.3,28.2,43.1,15.1,1,"clinton",57,"dem"
"GA","ResearchNow","",2016-02-23,400,33,2016-03-01,71.3,28.2,43.1,10.1,1,"clinton",62,"dem"
"GA","SurveyUSA","",2016-02-23,501,39,2016-03-01,71.3,28.2,43.1,4.1,1,"clinton",66,"dem"
"KS","Fort Hays State University","",2016-02-23,123,-10,2016-03-05,67.75,32.25,35.5,45.5,0,"clinton",33,"dem"
"MI","Mitchell Research & Communications","",2016-02-23,344,-34,2016-03-08,49.68,48.26,1.42,35.42,0,"clinton",65,"dem"
"SC","Clemson University","",2016-02-23,650,50,2016-02-27,73.44,26.02,47.42,2.58,1,"clinton",64,"dem"
"SC","Emerson College","",2016-02-23,266,23.6,2016-02-27,73.44,26.02,47.42,23.82,1,"clinton",60.1,"dem"
"TX","Monmouth University","",2016-02-23,304,34,2016-03-01,65.19,33.19,32,2,1,"clinton",64,"dem"
"VA","Monmouth University","",2016-02-23,302,27,2016-03-01,64.29,35.2,29.09,2.09,1,"clinton",60,"dem"
"FL","Gravis Marketing","",2016-02-24,514,16,2016-03-15,64.44,33.28,31.16,15.16,1,"clinton",58,"dem"
"GA","YouGov","",2016-02-24,492,28,2016-03-01,71.3,28.2,43.1,15.1,1,"clinton",63,"dem"
"IL","We Ask America","",2016-02-24,1116,29.38,2016-03-15,50.56,48.61,1.95,27.43,1,"clinton",57.23,"dem"
"OK","SoonerPoll.com","",2016-02-24,510,-9,2016-03-01,51.88,41.52,10.36,19.36,0,"clinton",40,"dem"
"TN","Marist College","",2016-02-24,405,26,2016-03-01,66.07,32.45,33.62,7.62,1,"clinton",60,"dem"
"TX","Crosswind Media & Public Relations","",2016-02-24,411,40,2016-03-01,65.19,33.19,32,8,1,"clinton",66,"dem"
"TX","YouGov","",2016-02-24,750,24,2016-03-01,65.19,33.19,32,8,1,"clinton",61,"dem"
"VA","YouGov","",2016-02-24,481,20,2016-03-01,64.29,35.2,29.09,9.09,1,"clinton",59,"dem"
"FL","Public Policy Polling","",2016-02-25,388,25,2016-03-15,64.44,33.28,31.16,6.16,1,"clinton",57,"dem"
"FL","University of North Florida","",2016-02-25,685,30,2016-03-15,64.44,33.28,31.16,1.16,1,"clinton",54,"dem"
"MI","Marketing Resource Group (MRG)","",2016-02-25,218,-20,2016-03-08,49.68,48.26,1.42,21.42,0,"clinton",56,"dem"
"GA","SurveyMonkey","",2016-02-26,961,23,2016-03-01,71.3,28.2,43.1,20.1,1,"clinton",59,"dem"
"MA","Suffolk University","",2016-02-26,500,8,2016-03-01,49.9,48.5,1.4,6.6,1,"clinton",50,"dem"
"MA","SurveyMonkey","",2016-02-26,1224,2,2016-03-01,49.9,48.5,1.4,0.6,1,"clinton",48,"dem"
"TN","SurveyMonkey","",2016-02-26,533,17,2016-03-01,66.07,32.45,33.62,16.62,1,"clinton",54,"dem"
"VA","SurveyMonkey","",2016-02-26,908,21,2016-03-01,64.29,35.2,29.09,8.09,1,"clinton",57,"dem"
"AL","Monmouth University","",2016-02-27,300,48,2016-03-01,77.88,19.17,58.71,10.71,1,"clinton",71,"dem"
"MA","Emerson College","",2016-02-27,670,11.1,2016-03-01,49.9,48.5,1.4,9.7,1,"clinton",53.9,"dem"
"OK","Monmouth University","",2016-02-27,300,5,2016-03-01,51.88,41.52,10.36,5.36,1,"clinton",43,"dem"
"TX","American Research Group","",2016-02-27,400,20,2016-03-01,65.19,33.19,32,12,1,"clinton",58,"dem"
"TX","Emerson College","",2016-02-27,275,41.4,2016-03-01,65.19,33.19,32,9.4,1,"clinton",67.7,"dem"
"GA","Landmark Communications","",2016-02-28,800,47.1,2016-03-01,71.3,28.2,43.1,4,1,"clinton",70.1,"dem"
"MS","Magellan Strategies","",2016-02-29,471,54,2016-03-08,82.47,16.62,65.85,11.85,1,"clinton",65,"dem"
"LA","Magellan Strategies","",2016-03-01,865,47,2016-03-05,71.12,23.18,47.94,0.94,1,"clinton",61,"dem"
"MI","Mitchell Research & Communications","",2016-03-01,427,-28,2016-03-08,49.68,48.26,1.42,29.42,0,"clinton",61,"dem"
"MI","Marist College","",2016-03-02,546,-17,2016-03-08,49.68,48.26,1.42,18.42,0,"clinton",57,"dem"
"MI","Mitchell Research & Communications","",2016-03-03,616,-18,2016-03-08,49.68,48.26,1.42,19.42,0,"clinton",55,"dem"
"MI","YouGov","",2016-03-03,597,-11,2016-03-08,49.68,48.26,1.42,12.42,0,"clinton",55,"dem"
"FL","CNN/Opinion Research Corp.","",2016-03-04,264,27,2016-03-15,64.44,33.28,31.16,4.16,1,"clinton",61,"dem"
"FL","Tarrance Group","",2016-03-04,449,38,2016-03-15,64.44,33.28,31.16,6.84,1,"clinton",64,"dem"
"IL","Research America Inc.","",2016-03-04,600,42,2016-03-15,50.56,48.61,1.95,40.05,1,"clinton",67,"dem"
"OH","CNN/Opinion Research Corp.","",2016-03-04,294,30,2016-03-15,56.12,43.13,12.99,17.01,1,"clinton",63,"dem"
"FL","Quinnipiac University","",2016-03-05,511,30,2016-03-15,64.44,33.28,31.16,1.16,1,"clinton",62,"dem"
"FL","SurveyUSA","",2016-03-05,823,31,2016-03-15,64.44,33.28,31.16,0.16,1,"clinton",61,"dem"
"MI","American Research Group","",2016-03-05,400,-24,2016-03-08,49.68,48.26,1.42,25.42,0,"clinton",60,"dem"
"MI","Monmouth University","",2016-03-05,302,-13,2016-03-08,49.68,48.26,1.42,14.42,0,"clinton",55,"dem"
"NC","National Research, Inc.","",2016-03-05,500,29,2016-03-15,54.5,40.87,13.63,15.37,1,"clinton",57,"dem"
"OH","Public Policy Polling","",2016-03-05,508,21,2016-03-15,56.12,43.13,12.99,8.01,1,"clinton",56,"dem"
"OH","Quinnipiac University","",2016-03-05,521,9,2016-03-15,56.12,43.13,12.99,3.99,1,"clinton",52,"dem"
"MI","Mitchell Research & Communications","",2016-03-06,475,-37,2016-03-08,49.68,48.26,1.42,38.42,0,"clinton",66,"dem"
"NC","SurveyUSA","",2016-03-06,687,23,2016-03-15,54.5,40.87,13.63,9.37,1,"clinton",57,"dem"
"FL","Marist College","",2016-03-07,500,27,2016-03-15,64.44,33.28,31.16,4.16,1,"clinton",61,"dem"
"IL","Marist College","",2016-03-07,529,6,2016-03-15,50.56,48.61,1.95,4.05,1,"clinton",51,"dem"
"IL","We Ask America","",2016-03-07,994,37.3,2016-03-15,50.56,48.61,1.95,35.35,1,"clinton",62.3,"dem"
"MI","Mitchell Research & Communications","",2016-03-07,482,-27,2016-03-08,49.68,48.26,1.42,28.42,0,"clinton",61,"dem"
"MO","Fort Hays State University","",2016-03-07,145,7,2016-03-15,49.61,49.36,0.25,6.75,1,"clinton",47,"dem"
"OH","Marist College","",2016-03-07,453,20,2016-03-15,56.12,43.13,12.99,7.01,1,"clinton",58,"dem"
"FL","Mason-Dixon Polling & Research, Inc.","",2016-03-08,500,45,2016-03-15,64.44,33.28,31.16,13.84,1,"clinton",68,"dem"
"AZ","Merrill Poll","",2016-03-09,300,26,2016-03-22,56.29,41.39,14.9,11.1,1,"clinton",50,"dem"
"MO","RABA Research","",2016-03-09,670,4,2016-03-15,49.61,49.36,0.25,3.75,1,"clinton",44,"dem"
"FL","Florida Atlantic University","",2016-03-10,414,28,2016-03-15,64.44,33.28,31.16,3.16,1,"clinton",59,"dem"
"FL","YouGov","",2016-03-10,796,28,2016-03-15,64.44,33.28,31.16,3.16,1,"clinton",62,"dem"
"IL","YouGov","",2016-03-10,722,-2,2016-03-15,50.56,48.61,1.95,3.95,0,"clinton",46,"dem"
"NC","SurveyUSA","",2016-03-10,669,24,2016-03-15,54.5,40.87,13.63,10.37,1,"clinton",58,"dem"
"OH","YouGov","",2016-03-10,755,9,2016-03-15,56.12,43.13,12.99,3.99,1,"clinton",52,"dem"
"FL","Quinnipiac University","",2016-03-11,519,26,2016-03-15,64.44,33.28,31.16,5.16,1,"clinton",60,"dem"
"OH","Quinnipiac University","",2016-03-11,543,5,2016-03-15,56.12,43.13,12.99,7.99,1,"clinton",51,"dem"
"FL","American Research Group","",2016-03-12,400,21,2016-03-15,64.44,33.28,31.16,10.16,1,"clinton",58,"dem"
"FL","Public Policy Polling","",2016-03-12,627,25,2016-03-15,64.44,33.28,31.16,6.16,1,"clinton",57,"dem"
"IL","McKeon & Associates","",2016-03-12,428,1,2016-03-15,50.56,48.61,1.95,0.95,1,"clinton",31,"dem"
"IL","Public Policy Polling","",2016-03-12,597,3,2016-03-15,50.56,48.61,1.95,1.05,1,"clinton",48,"dem"
"MO","Public Policy Polling","",2016-03-12,839,-1,2016-03-15,49.61,49.36,0.25,1.25,0,"clinton",46,"dem"
"NC","Public Policy Polling","",2016-03-12,747,19,2016-03-15,54.5,40.87,13.63,5.37,1,"clinton",56,"dem"
"OH","Monmouth University","",2016-03-12,302,14,2016-03-15,56.12,43.13,12.99,1.01,1,"clinton",54,"dem"
"OH","Public Policy Polling","",2016-03-12,502,5,2016-03-15,56.12,43.13,12.99,7.99,1,"clinton",46,"dem"
"UT","Dan Jones & Associates","",2016-03-12,194,8,2016-03-22,79.26,20.28,58.98,50.98,1,"clinton",44,"dem"
"OH","American Research Group","",2016-03-13,400,7,2016-03-15,56.12,43.13,12.99,5.99,1,"clinton",52,"dem"
"WI","Emerson College","",2016-03-21,354,-6,2016-04-05,56.59,43.05,13.54,19.54,0,"clinton",50,"dem"
"WI","Marquette University","",2016-03-26,405,4.3,2016-04-05,56.59,43.05,13.54,9.24,1,"clinton",44.9,"dem"
"WI","Fox News/Anderson Robbins Research/Shaw & Company Research","",2016-03-29,860,5,2016-04-05,56.59,43.05,13.54,8.54,1,"clinton",43,"dem"
"WI","Loras College","",2016-03-29,416,-6,2016-04-05,56.59,43.05,13.54,19.54,0,"clinton",47,"dem"
"WI","Public Policy Polling","",2016-03-29,720,6,2016-04-05,56.59,43.05,13.54,7.54,1,"clinton",43,"dem"
"NY","YouGov","",2016-03-31,718,10,2016-04-19,58.03,41.97,16.06,6.06,1,"clinton",53,"dem"
"WI","YouGov","",2016-03-31,653,2,2016-04-05,56.59,43.05,13.54,11.54,1,"clinton",47,"dem"
"WI","Emerson College","",2016-04-01,542,8,2016-04-05,56.59,43.05,13.54,5.54,1,"clinton",43,"dem"
"WI","American Research Group","",2016-04-02,400,-1,2016-04-05,56.59,43.05,13.54,14.54,0,"clinton",49,"dem"
"NY","Fox News/Anderson Robbins Research/Shaw & Company Research","",2016-04-06,801,16,2016-04-19,58.03,41.97,16.06,0.06,1,"clinton",53,"dem"
"NY","Gravis Marketing","",2016-04-06,1134,6,2016-04-19,58.03,41.97,16.06,10.06,1,"clinton",53,"dem"
"PA","Fox News/Anderson Robbins Research/Shaw & Company Research","",2016-04-06,805,11,2016-04-26,55.58,43.56,12.02,1.02,1,"clinton",49,"dem"
"MD","Marist College","",2016-04-07,775,22,2016-04-26,62.53,33.81,28.72,6.72,1,"clinton",58,"dem"
"NY","Emerson College","",2016-04-07,324,18,2016-04-19,58.03,41.97,16.06,1.94,1,"clinton",56,"dem"
"NY","Baruch College","",2016-04-08,632,13,2016-04-19,58.03,41.97,16.06,3.06,1,"clinton",50,"dem"
"NY","Marist College","",2016-04-08,557,14,2016-04-19,58.03,41.97,16.06,2.06,1,"clinton",55,"dem"
"NY","Monmouth University","",2016-04-09,302,12,2016-04-19,58.03,41.97,16.06,4.06,1,"clinton",51,"dem"
"NY","Public Policy Polling","",2016-04-09,663,11,2016-04-19,58.03,41.97,16.06,5.06,1,"clinton",51,"dem"
"NY","Quinnipiac University","",2016-04-09,860,13,2016-04-19,58.03,41.97,16.06,3.06,1,"clinton",53,"dem"
"NY","Siena College","",2016-04-09,538,10,2016-04-19,58.03,41.97,16.06,6.06,1,"clinton",52,"dem"
"CT","Emerson College","",2016-04-11,356,6,2016-04-26,51.8,46.42,5.38,0.62,1,"clinton",49,"dem"
"NY","Marist College","",2016-04-12,591,17,2016-04-19,58.03,41.97,16.06,0.94,1,"clinton",57,"dem"
"NY","Gravis Marketing","",2016-04-13,635,6,2016-04-19,58.03,41.97,16.06,10.06,1,"clinton",53,"dem"
"NY","YouGov","",2016-04-14,1030,10,2016-04-19,58.03,41.97,16.06,6.06,1,"clinton",53,"dem"
"CT","Quinnipiac University","",2016-04-15,1037,9,2016-04-26,51.8,46.42,5.38,3.62,1,"clinton",51,"dem"
"PA","Franklin & Marshall College","",2016-04-15,321,27,2016-04-26,55.58,43.56,12.02,14.98,1,"clinton",58,"dem"
"MD","Public Policy Polling","",2016-04-16,492,25,2016-04-26,62.53,33.81,28.72,3.72,1,"clinton",58,"dem"
"NY","Emerson College","",2016-04-16,438,15,2016-04-19,58.03,41.97,16.06,1.06,1,"clinton",55,"dem"
"DE","Gravis Marketing","",2016-04-18,1026,7,2016-04-26,59.75,39.15,20.6,13.6,1,"clinton",45,"dem"
"PA","Monmouth University","",2016-04-18,302,13,2016-04-26,55.58,43.56,12.02,0.98,1,"clinton",52,"dem"
"MD","Monmouth University","",2016-04-19,300,25,2016-04-26,62.53,33.81,28.72,3.72,1,"clinton",57,"dem"
"PA","Marist College","",2016-04-19,734,15,2016-04-26,55.58,43.56,12.02,2.98,1,"clinton",55,"dem"
"IN","Fox News/Anderson Robbins Research/Shaw & Company Research","",2016-04-20,603,-4,2016-05-03,52.52,47.48,5.04,9.04,0,"clinton",46,"dem"
"IN","Indiana University-Purdue University Fort Wayne","",2016-04-20,400,-15,2016-05-03,52.52,47.48,5.04,20.04,0,"clinton",55,"dem"
"IN","Public Opinion Strategies","",2016-04-20,479,-3,2016-05-03,52.52,47.48,5.04,8.04,0,"clinton",48,"dem"
"RI","Brown University","",2016-04-20,436,-9.4,2016-04-26,54.71,43.08,11.63,21.03,0,"clinton",43.3,"dem"
"IN","Indiana University-Purdue University Fort Wayne","",2016-04-21,400,-13,2016-05-03,52.52,47.48,5.04,18.04,0,"clinton",54,"dem"
"IN","YouGov","",2016-04-21,832,-5,2016-05-03,52.52,47.48,5.04,10.04,0,"clinton",49,"dem"
"PA","CPEC LLC","",2016-04-21,665,29.26,2016-04-26,55.58,43.56,12.02,17.24,1,"clinton",61.26,"dem"
"PA","YouGov","",2016-04-21,831,8,2016-04-26,55.58,43.56,12.02,4.02,1,"clinton",51,"dem"
"PA","CPEC LLC","",2016-04-22,665,28.77,2016-04-26,55.58,43.56,12.02,16.75,1,"clinton",61.52,"dem"
"PA","Harper Polling","",2016-04-22,641,28,2016-04-26,55.58,43.56,12.02,15.98,1,"clinton",61,"dem"
"CT","Public Policy Polling","",2016-04-23,709,2,2016-04-26,51.8,46.42,5.38,3.38,1,"clinton",48,"dem"
"MD","American Research Group","",2016-04-23,400,6,2016-04-26,62.53,33.81,28.72,22.72,1,"clinton",50,"dem"
"PA","American Research Group","",2016-04-23,400,20,2016-04-26,55.58,43.56,12.02,7.98,1,"clinton",58,"dem"
"PA","CPEC LLC","",2016-04-23,665,26.52,2016-04-26,55.58,43.56,12.02,14.5,1,"clinton",63.26,"dem"
"PA","Public Policy Polling","",2016-04-23,728,10,2016-04-26,55.58,43.56,12.02,2.02,1,"clinton",51,"dem"
"RI","Public Policy Polling","",2016-04-23,668,4,2016-04-26,54.71,43.08,11.63,7.63,1,"clinton",45,"dem"
"PA","Opinion Savvy/InsiderAdvantage","",2016-04-24,942,11.6,2016-04-26,55.58,43.56,12.02,0.42,1,"clinton",52.1,"dem"
"IN","Marist College","",2016-04-27,449,-4,2016-05-03,52.52,47.48,5.04,9.04,0,"clinton",50,"dem"
"WV","R.L. Repass & Partners","",2016-04-27,315,4,2016-05-10,51.34,36.19,15.15,11.15,1,"clinton",43,"dem"
"IN","American Research Group","",2016-04-28,400,-8,2016-05-03,52.52,47.48,5.04,13.04,0,"clinton",51,"dem"
"WV","Public Policy Polling","",2016-04-30,637,8,2016-05-10,51.34,36.19,15.15,7.15,1,"clinton",37,"dem"
"OR","Davis, Hibbitts & Midghall, Inc.","",2016-05-08,304,-15,2016-05-17,53.89,44.39,9.5,24.5,0,"clinton",48,"dem"
"CA","Public Policy Institute of California","",2016-05-18,552,2,2016-06-07,53.07,46.04,7.03,5.03,1,"clinton",46,"dem"
"CA","SurveyUSA","",2016-05-21,803,18,2016-06-07,53.07,46.04,7.03,10.97,1,"clinton",57,"dem"
"CA","Greenberg Quinlan Rosner/American Viewpoint","",2016-05-25,412,10,2016-06-07,53.07,46.04,7.03,2.97,1,"clinton",49,"dem"
"CA","Field Research Corporation (Field Poll)","",2016-05-29,571,2,2016-06-07,53.07,46.04,7.03,5.03,1,"clinton",45,"dem"
"CA","Marist College","",2016-05-30,557,2,2016-06-07,53.07,46.04,7.03,5.03,1,"clinton",49,"dem"
"CA","American Research Group","",2016-06-01,400,1,2016-06-07,53.07,46.04,7.03,6.03,1,"clinton",48,"dem"
"CA","YouGov","",2016-06-02,674,2,2016-06-07,53.07,46.04,7.03,5.03,1,"clinton",49,"dem"
"IA","Gravis Marketing","",2016-01-12,461,21,2016-02-01,49.83,49.63,0.2,20.8,1,"sanders",36,"dem"
"IA","Iowa State University","",2016-01-14,356,2.4,2016-02-01,49.83,49.63,0.2,2.2,1,"sanders",45,"dem"
"IA","Loras College","",2016-01-16,500,29,2016-02-01,49.83,49.63,0.2,28.8,1,"sanders",30,"dem"
"IA","CNN/Opinion Research Corp.","",2016-01-18,280,-8,2016-02-01,49.83,49.63,0.2,8.2,0,"sanders",51,"dem"
"IA","Douglas Fulmer & Associates","",2016-01-19,570,9,2016-02-01,49.83,49.63,0.2,8.8,1,"sanders",39,"dem"
"IA","Emerson College","",2016-01-19,258,9,2016-02-01,49.83,49.63,0.2,8.8,1,"sanders",43,"dem"
